,Training datasets,
Protein_ID,Cysteine_ positions,Pos & Neg samples
sp|Q8IWZ3|ANKH1_HUMAN,213,SNO
sp|Q8IWZ3|ANKH1_HUMAN,380,SNO
sp|Q8IWZ3|ANKH1_HUMAN,535,SNO
sp|P46779|RL28_HUMAN,13,SNO
sp|Q9SRZ6|ICDHC_ARATH,75,SNO
sp|Q9SRZ6|ICDHC_ARATH,269,SNO
sp|Q9SRZ6|ICDHC_ARATH,363,SNO
sp|Q9DBB5|IF4E3_MOUSE,52,SNO
sp|P62815|VATB2_RAT,162,SNO
sp|Q9DBB8|DHDH_MOUSE,95,SNO
sp|Q99K48|NONO_MOUSE,147,SNO
sp|P19157|GSTP1_MOUSE,48,SNO
tr|Q3TLP8|Q3TLP8_MOUSE,6,SNO
tr|Q3TLP8|Q3TLP8_MOUSE,124,SNO
tr|Q3TLP8|Q3TLP8_MOUSE,197,SNO
sp|Q99K43|PRC1_MOUSE,184,SNO
sp|P02749|APOH_HUMAN,300,SNO
sp|P61962|DCAF7_HUMAN,109,SNO
tr|Q6P217|Q6P217_MOUSE,98,SNO
sp|P62814|VATB2_MOUSE,112,SNO
sp|P62814|VATB2_MOUSE,207,SNO
sp|P62814|VATB2_MOUSE,289,SNO
sp|P0AGE9|SUCD_ECOLI,124,SNO
sp|P22315|HEMH_MOUSE,193,SNO
sp|P22314|UBA1_HUMAN,632,SNO
sp|P00561|AK1H_ECOLI,280,SNO
sp|P00561|AK1H_ECOLI,501,SNO
sp|P61979|HNRPK_MOUSE,132,SNO
sp|P61979|HNRPK_MOUSE,145,SNO
sp|P61979|HNRPK_MOUSE,184,SNO
sp|P61979|HNRPK_MOUSE,185,SNO
sp|Q61425|HCDH_MOUSE,99,SNO
sp|Q61425|HCDH_MOUSE,201,SNO
sp|Q61425|HCDH_MOUSE,211,SNO
sp|P62827|RAN_MOUSE,112,SNO
sp|P62827|RAN_MOUSE,120,SNO
sp|Q9DBA8|HUTI_MOUSE,189,SNO
sp|P04904|GSTA3_RAT,212,SNO
sp|P11678|PERE_HUMAN,370,SNO
sp|P11678|PERE_HUMAN,635,SNO
sp|Q8K3K7|PLCB_MOUSE,248,SNO
sp|Q99JR6|NMNA3_MOUSE,133,SNO
sp|P04906|GSTP1_RAT,102,SNO
sp|Q3UKJ7|SMU1_MOUSE,312,SNO
sp|Q91XE4|ACY3_MOUSE,175,SNO
sp|Q76MZ3|2AAA_MOUSE,174,SNO
sp|Q76MZ3|2AAA_MOUSE,329,SNO
sp|Q76MZ3|2AAA_MOUSE,390,SNO
sp|Q9Y6R7|FCGBP_HUMAN,472,SNO
sp|Q8BWM0|PGES2_MOUSE,382,SNO
sp|Q8R3V5|SHLB2_MOUSE,267,SNO
sp|Q9QZ06|TOLIP_MOUSE,229,SNO
sp|Q14240|IF4A2_HUMAN,67,SNO
sp|P61972|NTF2_RAT,80,SNO
sp|P61972|NTF2_RAT,114,SNO
sp|P43243|MATR3_HUMAN,806,SNO
sp|P61971|NTF2_MOUSE,38,SNO
sp|Q5HZV9|PP1R7_RAT,112,SNO
sp|P02730|B3AT_HUMAN,201,SNO
sp|P02730|B3AT_HUMAN,317,SNO
sp|P62821|RAB1A_MOUSE,26,SNO
sp|P62821|RAB1A_MOUSE,126,SNO
sp|P56558|OGT1_RAT,610,SNO
sp|P78347|GTF2I_HUMAN,475,SNO
sp|Q9CXW4|RL11_MOUSE,72,SNO
sp|Q8BFR5|EFTU_MOUSE,127,SNO
sp|Q8BFR5|EFTU_MOUSE,147,SNO
sp|Q8BFR5|EFTU_MOUSE,222,SNO
sp|Q8BFR5|EFTU_MOUSE,290,SNO
sp|Q8BFR6|ZFAN1_MOUSE,44,SNO
sp|Q6ZQ73|CAND2_MOUSE,240,SNO
sp|P52197|THTR_AZOVI,230,SNO
sp|Q99JY0|ECHB_MOUSE,436,SNO
sp|Q99JY0|ECHB_MOUSE,459,SNO
sp|Q9R1V6|ADA22_MOUSE,23,SNO
sp|Q8BG32|PSD11_MOUSE,202,SNO
sp|O08749|DLDH_MOUSE,69,SNO
sp|O08749|DLDH_MOUSE,80,SNO
sp|O08749|DLDH_MOUSE,85,SNO
sp|O08749|DLDH_MOUSE,477,SNO
sp|O08749|DLDH_MOUSE,484,SNO
sp|O80934|Y2766_ARATH,284,SNO
sp|Q7TMF3|NDUAC_MOUSE,92,SNO
sp|Q9JLJ2|AL9A1_MOUSE,45,SNO
sp|Q9JLJ2|AL9A1_MOUSE,267,SNO
sp|Q99JY9|ARP3_MOUSE,34,SNO
sp|Q99JY9|ARP3_MOUSE,235,SNO
sp|Q99JY9|ARP3_MOUSE,408,SNO
sp|P23229|ITA6_HUMAN,86,SNO
sp|P23229|ITA6_HUMAN,131,SNO
sp|P23229|ITA6_HUMAN,541,SNO
sp|P35221|CTNA1_HUMAN,767,SNO
sp|P35221|CTNA1_HUMAN,772,SNO
sp|P36552|HEM6_MOUSE,362,SNO
sp|Q9ERD7|TBB3_MOUSE,12,SNO
sp|Q9ERD7|TBB3_MOUSE,354,SNO
sp|Q8BWT1|THIM_MOUSE,179,SNO
sp|Q8BWT1|THIM_MOUSE,287,SNO
sp|Q8BWT1|THIM_MOUSE,382,SNO
sp|P02769|ALBU_BOVIN,58,SNO
sp|P02769|ALBU_BOVIN,288,SNO
sp|P02769|ALBU_BOVIN,392,SNO
sp|P02768|ALBU_HUMAN,77,SNO
sp|P02768|ALBU_HUMAN,86,SNO
sp|P02768|ALBU_HUMAN,99,SNO
sp|P02768|ALBU_HUMAN,114,SNO
sp|P02768|ALBU_HUMAN,115,SNO
sp|P02768|ALBU_HUMAN,125,SNO
sp|P02768|ALBU_HUMAN,148,SNO
sp|P02768|ALBU_HUMAN,192,SNO
sp|P02768|ALBU_HUMAN,193,SNO
sp|P02768|ALBU_HUMAN,201,SNO
sp|P02768|ALBU_HUMAN,313,SNO
sp|P02768|ALBU_HUMAN,416,SNO
sp|P02768|ALBU_HUMAN,485,SNO
sp|P02768|ALBU_HUMAN,591,SNO
sp|P02766|TTHY_HUMAN,10,SNO
sp|Q64514|TPP2_MOUSE,150,SNO
sp|Q64514|TPP2_MOUSE,209,SNO
sp|Q64514|TPP2_MOUSE,614,SNO
sp|Q99JX3|GORS2_MOUSE,434,SNO
sp|Q8BFQ4|WDR82_MOUSE,287,SNO
sp|Q64516|GLPK_MOUSE,299,SNO
sp|Q99JX4|EIF3M_MOUSE,125,SNO
sp|P23242|CXA1_MOUSE,260,SNO
sp|P23242|CXA1_MOUSE,271,SNO
sp|O43521|B2L11_HUMAN,12,SNO
sp|Q6PGB6|NAA50_MOUSE,79,SNO
sp|P13439|UMPS_MOUSE,174,SNO
sp|Q9JLI6|SCLY_MOUSE,304,SNO
sp|Q9DBG3|AP2B1_MOUSE,857,SNO
sp|Q9DBG1|CP27A_MOUSE,230,SNO
sp|Q01320|TOP2A_MOUSE,391,SNO
sp|Q01320|TOP2A_MOUSE,996,SNO
sp|O08756|HCD2_MOUSE,58,SNO
sp|Q99JX7|NXF1_MOUSE,587,SNO
sp|Q8VE38|OXND1_MOUSE,68,SNO
sp|Q8VE38|OXND1_MOUSE,240,SNO
sp|Q9WVQ5|MTNB_MOUSE,75,SNO
sp|Q9WVQ5|MTNB_MOUSE,96,SNO
sp|Q9WVQ5|MTNB_MOUSE,146,SNO
sp|Q9WVQ5|MTNB_MOUSE,187,SNO
sp|Q64511|TOP2B_MOUSE,414,SNO
sp|Q9ULC4|MCTS1_HUMAN,14,SNO
sp|Q8R050|ERF3A_MOUSE,590,SNO
sp|Q9CXU9|EIF1B_MOUSE,69,SNO
sp|Q9QYI3|DNJC7_MOUSE,58,SNO
sp|Q9D1E6|TBCB_MOUSE,83,SNO
tr|Q3TYK4|Q3TYK4_MOUSE,491,SNO
sp|Q8VDQ1|PTGR2_MOUSE,187,SNO
sp|Q8K411|PREP_MOUSE,556,SNO
sp|Q8K411|PREP_MOUSE,627,SNO
sp|Q8K411|PREP_MOUSE,780,SNO
sp|Q99JW4|LIMS1_MOUSE,94,SNO
sp|Q99JW4|LIMS1_MOUSE,222,SNO
sp|P02792|FRIL_HUMAN,127,SNO
sp|P02790|HEMO_HUMAN,200,SNO
sp|P02790|HEMO_HUMAN,366,SNO
sp|Q9DBF1|AL7A1_MOUSE,70,SNO
sp|Q9DBF1|AL7A1_MOUSE,478,SNO
sp|Q9DBF1|AL7A1_MOUSE,522,SNO
sp|P70404|IDHG1_MOUSE,81,SNO
sp|P70404|IDHG1_MOUSE,148,SNO
sp|P70404|IDHG1_MOUSE,333,SNO
tr|Q8C928|Q8C928_MOUSE,217,SNO
sp|P48507|GSH0_HUMAN,35,SNO
sp|P48507|GSH0_HUMAN,72,SNO
sp|Q9QYJ0|DNJA2_MOUSE,308,SNO
sp|Q15121|PEA15_HUMAN,27,SNO
sp|P43297|RD21A_ARATH,233,SNO
sp|P43297|RD21A_ARATH,342,SNO
sp|Q9CY58|PAIRB_MOUSE,11,SNO
sp|Q9CXT8|MPPB_MOUSE,248,SNO
sp|Q9CXT8|MPPB_MOUSE,389,SNO
sp|Q9CXT8|MPPB_MOUSE,419,SNO
sp|Q9CXT8|MPPB_MOUSE,481,SNO
sp|Q5SW19|CLU_MOUSE,665,SNO
sp|Q5SW19|CLU_MOUSE,734,SNO
sp|Q5SW19|CLU_MOUSE,1198,SNO
sp|P02788|TRFL_HUMAN,608,SNO
sp|P48500|TPIS_RAT,21,SNO
sp|P48500|TPIS_RAT,27,SNO
sp|P48500|TPIS_RAT,67,SNO
sp|P48500|TPIS_RAT,159,SNO
sp|P02787|TRFE_HUMAN,58,SNO
sp|P02787|TRFE_HUMAN,137,SNO
sp|P02787|TRFE_HUMAN,213,SNO
sp|P02787|TRFE_HUMAN,246,SNO
sp|P02787|TRFE_HUMAN,260,SNO
sp|P02787|TRFE_HUMAN,364,SNO
sp|P02787|TRFE_HUMAN,374,SNO
sp|P02787|TRFE_HUMAN,396,SNO
sp|P02787|TRFE_HUMAN,503,SNO
sp|P02787|TRFE_HUMAN,525,SNO
sp|P02787|TRFE_HUMAN,582,SNO
sp|P02787|TRFE_HUMAN,596,SNO
sp|P02787|TRFE_HUMAN,684,SNO
sp|Q9ZNZ7|GLTB1_ARATH,1464,SNO
sp|P61922|GABT_MOUSE,75,SNO
sp|P61922|GABT_MOUSE,269,SNO
sp|P61922|GABT_MOUSE,440,SNO
sp|Q6PKG0|LARP1_HUMAN,864,SNO
sp|P23686|METK1_ARATH,114,SNO
sp|Q9NPA8|ENY2_HUMAN,40,SNO
sp|Q8VHX6|FLNC_MOUSE,713,SNO
sp|Q8VHX6|FLNC_MOUSE,729,SNO
sp|Q8VHX6|FLNC_MOUSE,1349,SNO
sp|Q8VHX6|FLNC_MOUSE,1992,SNO
sp|Q8BJW6|EIF2A_MOUSE,377,SNO
sp|Q62312|TGFR2_MOUSE,76,SNO
sp|Q8R035|ICT1_MOUSE,82,SNO
sp|P28903|NRDD_ECOLI,466,SNO
sp|Q5JTH9|RRP12_HUMAN,317,SNO
sp|Q14289|FAK2_HUMAN,534,SNO
sp|P60603|ROMO1_MOUSE,15,SNO
sp|Q8BG05|ROA3_MOUSE,64,SNO
sp|Q8BG05|ROA3_MOUSE,196,SNO
sp|Q9D1C3|PREY_MOUSE,58,SNO
sp|O08709|PRDX6_MOUSE,201,SNO
sp|Q60989|XIAP_MOUSE,90,SNO
sp|P18242|CATD_MOUSE,288,SNO
sp|Q9ER88|RT29_MOUSE,379,SNO
sp|Q96EL3|RM53_HUMAN,21,SNO
sp|P53007|TXTP_HUMAN,70,SNO
sp|Q9WVL0|MAAI_MOUSE,16,SNO
sp|Q96EK6|GNA1_HUMAN,113,SNO
sp|Q96EK6|GNA1_HUMAN,128,SNO
sp|Q96EK6|GNA1_HUMAN,157,SNO
sp|P04083|ANXA1_HUMAN,324,SNO
sp|P04083|ANXA1_HUMAN,343,SNO
sp|Q05D44|IF2P_MOUSE,631,SNO
sp|Q61838|PZP_MOUSE,594,SNO
sp|Q9SF85|ADK1_ARATH,323,SNO
sp|Q9CXJ4|ABCB8_MOUSE,305,SNO
sp|P10768|ESTD_HUMAN,11,SNO
sp|P10768|ESTD_HUMAN,176,SNO
sp|P10768|ESTD_HUMAN,181,SNO
sp|O75533|SF3B1_HUMAN,1059,SNO
sp|A6H611|MIPEP_MOUSE,446,SNO
sp|O08715|AKAP1_MOUSE,352,SNO
sp|Q8BWF0|SSDH_MOUSE,81,SNO
sp|Q8BWF0|SSDH_MOUSE,260,SNO
sp|Q8BWF0|SSDH_MOUSE,328,SNO
sp|Q8BWF0|SSDH_MOUSE,330,SNO
sp|Q8BWF0|SSDH_MOUSE,422,SNO
sp|Q8BWF0|SSDH_MOUSE,490,SNO
sp|Q9ER72|SYCC_MOUSE,488,SNO
sp|Q02293|FNTB_RAT,299,SNO
sp|Q96AB3|ISOC2_HUMAN,21,SNO
sp|Q96AB3|ISOC2_HUMAN,107,SNO
sp|Q96AB3|ISOC2_HUMAN,114,SNO
tr|Q8VHM5|Q8VHM5_MOUSE,226,SNO
tr|Q8VHM5|Q8VHM5_MOUSE,292,SNO
sp|O88844|IDHC_MOUSE,363,SNO
sp|Q9CXI0|COQ5_MOUSE,244,SNO
sp|P53026|RL10A_MOUSE,164,SNO
sp|P29350|PTN6_HUMAN,453,SNO
sp|P58710|GGLO_MOUSE,19,SNO
sp|P58710|GGLO_MOUSE,360,SNO
sp|A2AJI0|MA7D1_MOUSE,375,SNO
sp|Q5M6W3|CLHC1_MOUSE,326,SNO
sp|P56537|IF6_HUMAN,11,SNO
sp|P56537|IF6_HUMAN,15,SNO
sp|Q9Y6I9|TX264_HUMAN,68,SNO
sp|Q8VDD5|MYH9_MOUSE,91,SNO
sp|Q8VDD5|MYH9_MOUSE,569,SNO
sp|Q8VDD5|MYH9_MOUSE,917,SNO
sp|P16045|LEG1_MOUSE,3,SNO
sp|P16045|LEG1_MOUSE,17,SNO
sp|P16045|LEG1_MOUSE,43,SNO
sp|P16045|LEG1_MOUSE,61,SNO
sp|Q9ER60|SCN4A_MOUSE,731,SNO
sp|P68510|1433F_MOUSE,112,SNO
sp|P00966|ASSY_HUMAN,97,SNO
sp|P00966|ASSY_HUMAN,132,SNO
sp|O03042|RBL_ARATH,192,SNO
sp|O03042|RBL_ARATH,427,SNO
sp|Q8R404|MIC13_MOUSE,60,SNO
sp|P56546|CTBP2_MOUSE,44,SNO
sp|Q60973|RBBP7_MOUSE,166,SNO
sp|P0AC53|G6PD_ECOLI,10,SNO
sp|Q9D172|GAL3A_MOUSE,50,SNO
sp|Q9D172|GAL3A_MOUSE,151,SNO
sp|Q9D172|GAL3A_MOUSE,219,SNO
sp|Q9D172|GAL3A_MOUSE,242,SNO
sp|O08739|AMPD3_MOUSE,322,SNO
sp|Q9ULA0|DNPEP_HUMAN,327,SNO
sp|P85094|ISC2A_MOUSE,84,SNO
sp|P85094|ISC2A_MOUSE,136,SNO
sp|P85094|ISC2A_MOUSE,206,SNO
sp|Q99JI6|RAP1B_MOUSE,118,SNO
sp|Q99JI6|RAP1B_MOUSE,141,SNO
sp|Q04446|GLGB_HUMAN,81,SNO
sp|Q04446|GLGB_HUMAN,88,SNO
sp|Q8VDC0|SYLM_MOUSE,625,SNO
sp|Q04447|KCRB_MOUSE,254,SNO
sp|Q04447|KCRB_MOUSE,283,SNO
sp|Q9QYG0|NDRG2_MOUSE,78,SNO
sp|Q9QYG0|NDRG2_MOUSE,321,SNO
sp|Q9QYG0|NDRG2_MOUSE,371,SNO
sp|P07585|PGS2_HUMAN,67,SNO
sp|Q9DAW6|PRP4_MOUSE,224,SNO
sp|Q8K3J1|NDUS8_MOUSE,119,SNO
sp|Q8K3J1|NDUS8_MOUSE,123,SNO
sp|P12979|MYOG_MOUSE,61,SNO
sp|P12979|MYOG_MOUSE,65,SNO
sp|P12979|MYOG_MOUSE,70,SNO
sp|P12970|RL7A_MOUSE,182,SNO
sp|P12970|RL7A_MOUSE,199,SNO
sp|Q91XD4|FTCD_MOUSE,57,SNO
sp|Q91XD4|FTCD_MOUSE,438,SNO
sp|Q8VDK1|NIT1_MOUSE,63,SNO
sp|Q8R464|CADM4_MOUSE,145,SNO
sp|Q8R464|CADM4_MOUSE,245,SNO
sp|Q02257|PLAK_MOUSE,372,SNO
sp|Q02257|PLAK_MOUSE,457,SNO
sp|Q96AG4|LRC59_HUMAN,48,SNO
sp|Q96AG4|LRC59_HUMAN,59,SNO
sp|Q96AG4|LRC59_HUMAN,131,SNO
sp|P01833|PIGR_HUMAN ,64,SNO
sp|P01833|PIGR_HUMAN ,220,SNO
sp|P01833|PIGR_HUMAN ,385,SNO
sp|P01833|PIGR_HUMAN ,395,SNO
sp|P01833|PIGR_HUMAN ,544,SNO
sp|P20595|GCYB1_RAT,122,SNO
sp|P01831|THY1_MOUSE,28,SNO
sp|P43235|CATK_HUMAN,139,SNO
sp|Q9Y6C9|MTCH2_HUMAN,49,SNO
sp|Q9Y6C9|MTCH2_HUMAN,79,SNO
sp|Q8CIM3|D2HDH_MOUSE,37,SNO
sp|P56965|DDAH1_BOVIN,222,SNO
sp|P56965|DDAH1_BOVIN,274,SNO
sp|Q61885|MOG_MOUSE,52,SNO
sp|Q61885|MOG_MOUSE,126,SNO
sp|Q8VDJ3|VIGLN_MOUSE,948,SNO
sp|Q9NP79|VTA1_HUMAN,155,SNO
sp|P61081|UBC12_HUMAN,47,SNO
sp|P61081|UBC12_HUMAN,65,SNO
sp|Q9H9A6|LRC40_HUMAN,264,SNO
sp|P63252|KCNJ2_HUMAN,76,SNO
sp|Q02248|CTNB1_MOUSE,213,SNO
sp|Q02248|CTNB1_MOUSE,619,SNO
sp|P00974|BPT1_BOVIN,65,SNO
sp|P00974|BPT1_BOVIN,73,SNO
sp|Q9BUJ2|HNRL1_HUMAN,377,SNO
sp|Q9BUJ2|HNRL1_HUMAN,487,SNO
sp|Q7L8L6|FAKD5_HUMAN,670,SNO
sp|Q8JZX4|SPF45_MOUSE,343,SNO
sp|P54310|LIPS_MOUSE ,743,SNO
sp|Q9R1P0|PSA4_MOUSE,74,SNO
sp|P28063|PSB8_MOUSE,174,SNO
sp|Q9R1P1|PSB3_MOUSE,19,SNO
sp|Q9R1P4|PSA1_MOUSE,85,SNO
sp|Q9R1P4|PSA1_MOUSE,92,SNO
sp|Q9WVJ2|PSD13_MOUSE,357,SNO
sp|Q9R1P3|PSB2_MOUSE,91,SNO
sp|P0DH99|EF1A1_ARATH,87,SNO
sp|Q99K01|PDXD1_MOUSE,491,SNO
sp|P01859|IGHG2_HUMAN,14,SNO
sp|P01859|IGHG2_HUMAN,27,SNO
sp|P01859|IGHG2_HUMAN,246,SNO
sp|P01859|IGHG2_HUMAN,304,SNO
sp|P61089|UBE2N_MOUSE,87,SNO
sp|P01857|IGHG1_HUMAN,144,SNO
sp|Q924X2|CPT1B_MOUSE,86,SNO
sp|Q924X2|CPT1B_MOUSE,155,SNO
sp|Q924X2|CPT1B_MOUSE,305,SNO
sp|Q924X2|CPT1B_MOUSE,427,SNO
sp|Q924X2|CPT1B_MOUSE,448,SNO
sp|Q924X2|CPT1B_MOUSE,462,SNO
sp|Q924X2|CPT1B_MOUSE,526,SNO
sp|Q924X2|CPT1B_MOUSE,548,SNO
sp|Q924X2|CPT1B_MOUSE,586,SNO
sp|Q924X2|CPT1B_MOUSE,608,SNO
sp|Q96AE4|FUBP1_HUMAN,148,SNO
sp|P00523|SRC_CHICK,498,SNO
sp|Q9FYE1|MCA9_ARATH,147,SNO
sp|Q9QYB1|CLIC4_MOUSE,35,SNO
sp|Q9QYB1|CLIC4_MOUSE,100,SNO
sp|Q9QYB1|CLIC4_MOUSE,189,SNO
sp|Q13347|EIF3I_HUMAN,144,SNO
sp|P97494|GSH1_MOUSE,501,SNO
sp|P56501|UCP3_MOUSE,25,SNO
sp|Q15527|SURF2_HUMAN,29,SNO
sp|Q15527|SURF2_HUMAN,38,SNO
sp|P19123|TNNC1_MOUSE,35,SNO
sp|P63276|RS17_MOUSE,35,SNO
sp|Q9CXK8|NIP7_MOUSE,36,SNO
sp|Q9Z0X1|AIFM1_MOUSE,255,SNO
sp|Q9Z0X1|AIFM1_MOUSE,316,SNO
sp|Q9Z0X1|AIFM1_MOUSE,440,SNO
sp|Q9BUH6|PAXX_HUMAN,180,SNO
sp|Q9WVK4|EHD1_MOUSE,138,SNO
sp|Q8BK08|TMM11_MOUSE,78,SNO
sp|Q8VDG5|PPCS_MOUSE,308,SNO
sp|P23610|F8I2_HUMAN,110,SNO
sp|P24942|EAA1_RAT,186,SNO
sp|Q9QYC0|ADDA_MOUSE,430,SNO
sp|Q9QYC0|ADDA_MOUSE,525,SNO
sp|Q14684|RRP1B_HUMAN,197,SNO
sp|Q7KZF4|SND1_HUMAN,440,SNO
sp|Q8WWA0|ITLN1_HUMAN,251,SNO
sp|P07744|K2C4_MOUSE,457,SNO
sp|Q9H845|ACAD9_HUMAN,271,SNO
sp|O70370|CATS_MOUSE,281,SNO
sp|O70370|CATS_MOUSE,329,SNO
sp|O70370|CATS_MOUSE,335,SNO
sp|P50136|ODBA_MOUSE,175,SNO
sp|Q9R0H0|ACOX1_MOUSE,199,SNO
sp|Q9R0H0|ACOX1_MOUSE,392,SNO
sp|Q9R0H0|ACOX1_MOUSE,531,SNO
sp|Q9R0H0|ACOX1_MOUSE,559,SNO
sp|O95671|ASML_HUMAN,274,SNO
sp|P0CG04|IGLC1_HUMAN,87,SNO
sp|O15519|CFLAR_HUMAN,254,SNO
sp|O15519|CFLAR_HUMAN,259,SNO
sp|Q9WUB3|PYGM_MOUSE,143,SNO
sp|Q9WUB3|PYGM_MOUSE,172,SNO
sp|Q9WUB3|PYGM_MOUSE,373,SNO
sp|Q9WUB3|PYGM_MOUSE,446,SNO
sp|Q9WUB3|PYGM_MOUSE,496,SNO
sp|Q9WUB3|PYGM_MOUSE,784,SNO
sp|Q91W50|CSDE1_MOUSE,129,SNO
sp|Q9WUB4|DCTN6_MOUSE,18,SNO
sp|Q91VT4|CBR4_MOUSE,5,SNO
sp|Q91VT4|CBR4_MOUSE,55,SNO
sp|Q91VT4|CBR4_MOUSE,115,SNO
sp|P04247|MYG_MOUSE,67,SNO
sp|Q91VS7|MGST1_MOUSE,50,SNO
sp|Q9EPL8|IPO7_MOUSE,477,SNO
sp|Q9EPL8|IPO7_MOUSE,757,SNO
sp|Q6X893|CTL1_MOUSE,68,SNO
sp|P30999|CTND1_MOUSE,394,SNO
sp|P30999|CTND1_MOUSE,429,SNO
sp|P30999|CTND1_MOUSE,450,SNO
sp|P30999|CTND1_MOUSE,533,SNO
sp|Q9DA03|LYRM7_MOUSE,97,SNO
sp|P17563|SBP1_MOUSE,8,SNO
sp|P17563|SBP1_MOUSE,371,SNO
sp|Q92841|DDX17_HUMAN,277,SNO
sp|P30519|HMOX2_HUMAN,282,SNO
sp|Q8VBZ3|CLPT1_MOUSE,645,SNO
sp|Q91W43|GCSP_MOUSE,230,SNO
sp|Q91W43|GCSP_MOUSE,762,SNO
sp|Q5XJY5|COPD_MOUSE,286,SNO
sp|Q5XJY5|COPD_MOUSE,441,SNO
sp|Q5XJY5|COPD_MOUSE,479,SNO
sp|P46096|SYT1_MOUSE,277,SNO
sp|P03369|POL_HV1A2,557,SNO
sp|P03369|POL_HV1A2,585,SNO
sp|P07724|ALBU_MOUSE,269,SNO
sp|P07724|ALBU_MOUSE,270,SNO
sp|P07724|ALBU_MOUSE,277,SNO
sp|P07724|ALBU_MOUSE,302,SNO
sp|P07724|ALBU_MOUSE,303,SNO
sp|P07724|ALBU_MOUSE,384,SNO
sp|P07724|ALBU_MOUSE,385,SNO
sp|P07724|ALBU_MOUSE,393,SNO
sp|P07724|ALBU_MOUSE,472,SNO
sp|P07724|ALBU_MOUSE,500,SNO
sp|P07724|ALBU_MOUSE,501,SNO
sp|P07724|ALBU_MOUSE,511,SNO
sp|P07724|ALBU_MOUSE,538,SNO
sp|P07724|ALBU_MOUSE,591,SNO
sp|P28663|SNAB_MOUSE,66,SNO
sp|P28663|SNAB_MOUSE,103,SNO
sp|P46097|SYT2_MOUSE,293,SNO
sp|O95219|SNX4_HUMAN,172,SNO
sp|Q62188|DPYL3_MOUSE,471,SNO
sp|Q8K1X1|WDR11_MOUSE,515,SNO
sp|Q9JK11|RTN4_RAT,403,SNO
sp|P28659|CELF1_MOUSE,150,SNO
sp|P28659|CELF1_MOUSE,177,SNO
sp|Q8K297|GT251_MOUSE,364,SNO
sp|Q8K298|ANLN_MOUSE,970,SNO
sp|P04222|1C03_HUMAN,125,SNO
sp|Q91VR2|ATPG_MOUSE,103,SNO
sp|P0A7V8|RS4_ECOLI,32,SNO
sp|Q8BZB2|COAC_MOUSE,7,SNO
sp|Q64374|RGN_MOUSE,207,SNO
sp|Q64374|RGN_MOUSE,262,SNO
sp|P18872|GNAO_MOUSE,108,SNO
sp|Q05144|RAC2_MOUSE,157,SNO
sp|P62143|PP1B_RABIT,126,SNO
sp|P62143|PP1B_RABIT,201,SNO
sp|P62143|PP1B_RABIT,244,SNO
sp|Q3UZY0|SFI1_MOUSE,566,SNO
sp|Q9R0K7|AT2B2_MOUSE,526,SNO
sp|P49107|PSAN_ARATH,155,SNO
sp|P07742|RIR1_MOUSE,254,SNO
sp|P49185|MK08_RAT,116,SNO
sp|Q8BVA5|LDAH_MOUSE,185,SNO
sp|P34926|MAP1A_RAT,160,SNO
sp|P34926|MAP1A_RAT,978,SNO
sp|P34926|MAP1A_RAT,1236,SNO
sp|P50570|DYN2_HUMAN,27,SNO
sp|P50570|DYN2_HUMAN,86,SNO
sp|P50570|DYN2_HUMAN,607,SNO
sp|P51427|RS52_ARATH,175,SNO
sp|P58059|RT21_MOUSE,49,SNO
sp|P50579|MAP2_HUMAN,436,SNO
sp|P50579|MAP2_HUMAN,448,SNO
sp|O00463|TRAF5_HUMAN,161,SNO
sp|Q9EQ20|MMSA_MOUSE,86,SNO
sp|Q9EQ20|MMSA_MOUSE,149,SNO
sp|Q9EQ20|MMSA_MOUSE,368,SNO
sp|Q9EQ20|MMSA_MOUSE,413,SNO
sp|O00468|AGRIN_HUMAN,405,SNO
sp|Q8CHC4|SYNJ1_MOUSE,1051,SNO
sp|Q99MN9|PCCB_MOUSE,92,SNO
sp|Q99MN9|PCCB_MOUSE,271,SNO
sp|Q99MN9|PCCB_MOUSE,367,SNO
sp|Q80UU9|PGRC2_MOUSE,75,SNO
sp|Q8BMP6|GCP60_MOUSE,484,SNO
sp|P07310|KCRM_MOUSE,146,SNO
sp|P07310|KCRM_MOUSE,283,SNO
sp|P41216|ACSL1_MOUSE,55,SNO
sp|P41216|ACSL1_MOUSE,109,SNO
sp|P41216|ACSL1_MOUSE,133,SNO
sp|P41216|ACSL1_MOUSE,221,SNO
sp|P41216|ACSL1_MOUSE,242,SNO
sp|P41216|ACSL1_MOUSE,275,SNO
sp|P41216|ACSL1_MOUSE,298,SNO
sp|P41216|ACSL1_MOUSE,510,SNO
sp|P41216|ACSL1_MOUSE,626,SNO
sp|Q91W97|HKDC1_MOUSE,438,SNO
sp|P08648|ITA5_HUMAN,731,SNO
sp|P02089|HBB2_MOUSE,14,SNO
sp|P30556|AGTR1_HUMAN,289,SNO
sp|P34914|HYES_MOUSE,78,SNO
sp|P34914|HYES_MOUSE,120,SNO
sp|P34914|HYES_MOUSE,230,SNO
sp|P34914|HYES_MOUSE,312,SNO
sp|P34914|HYES_MOUSE,521,SNO
sp|O70325|GPX4_MOUSE,55,SNO
sp|O70325|GPX4_MOUSE,102,SNO
sp|O70325|GPX4_MOUSE,134,SNO
sp|O70325|GPX4_MOUSE,175,SNO
sp|O70325|GPX4_MOUSE,195,SNO
